,DateTime,Tmin
11,2007-06-01,57.02
40,2007-06-02,57.92
69,2007-06-03,57.92
96,2007-06-04,57.92
131,2007-06-05,57.02
164,2007-06-06,57.92
188,2007-06-07,55.94
213,2007-06-08,55.04
239,2007-06-09,57.02
266,2007-06-10,60.08
296,2007-06-11,60.08
324,2007-06-12,60.08
352,2007-06-13,60.98
382,2007-06-14,60.98
413,2007-06-15,57.92
443,2007-06-16,60.08
472,2007-06-17,59.0
499,2007-06-18,60.08
528,2007-06-19,60.08
555,2007-06-20,60.98
583,2007-06-21,60.08
607,2007-06-22,57.92
631,2007-06-23,60.98
660,2007-06-24,62.96
688,2007-06-25,62.96
713,2007-06-26,60.98
738,2007-06-27,60.98
764,2007-06-28,60.98
792,2007-06-29,62.06
817,2007-06-30,62.06
8,2007-07-01,64.04
32,2007-07-02,64.94
56,2007-07-03,64.94
81,2007-07-04,64.04
111,2007-07-05,64.94
142,2007-07-06,64.04
170,2007-07-07,62.96
207,2007-07-08,62.96
236,2007-07-09,64.94
264,2007-07-10,64.94
299,2007-07-11,64.94
330,2007-07-12,64.04
354,2007-07-13,62.96
378,2007-07-14,62.06
403,2007-07-15,64.94
435,2007-07-16,64.94
468,2007-07-17,64.94
495,2007-07-18,64.04
521,2007-07-19,62.96
546,2007-07-20,64.04
575,2007-07-21,64.94
603,2007-07-22,64.94
630,2007-07-23,64.04
656,2007-07-24,64.94
684,2007-07-25,66.02
713,2007-07-26,66.02
737,2007-07-27,66.92
762,2007-07-28,68.0
787,2007-07-29,66.02
813,2007-07-30,66.02
840,2007-07-31,66.92
8,2007-08-01,66.92
37,2007-08-02,66.02
68,2007-08-03,66.02
100,2007-08-04,66.02
127,2007-08-05,66.92
157,2007-08-06,
182,2007-08-07,66.02
208,2007-08-08,64.94
232,2007-08-09,64.04
260,2007-08-10,64.94
292,2007-08-11,62.96
320,2007-08-12,64.04
344,2007-08-13,64.04
368,2007-08-14,64.94
392,2007-08-15,68.0
416,2007-08-16,
440,2007-08-17,68.0
464,2007-08-18,69.98
488,2007-08-19,69.08
512,2007-08-20,68.0
537,2007-08-21,66.02
566,2007-08-22,66.02
599,2007-08-23,64.04
628,2007-08-24,66.92
658,2007-08-25,64.94
682,2007-08-26,64.94
706,2007-08-27,66.02
730,2007-08-28,66.02
754,2007-08-29,64.94
778,2007-08-30,66.92
805,2007-08-31,69.08
