,Tmin,DateTime
2009-06-01,59.0,2009-06-01
2009-06-02,59.0,2009-06-02
2009-06-03,60.08,2009-06-03
2009-06-04,60.08,2009-06-04
2009-06-05,57.02,2009-06-05
2009-06-06,60.08,2009-06-06
2009-06-07,60.08,2009-06-07
2009-06-08,60.08,2009-06-08
2009-06-09,60.98,2009-06-09
2009-06-10,62.06,2009-06-10
2009-06-11,60.08,2009-06-11
2009-06-12,62.06,2009-06-12
2009-06-13,60.98,2009-06-13
2009-06-14,62.06,2009-06-14
2009-06-15,60.08,2009-06-15
2009-06-16,60.08,2009-06-16
2009-06-17,62.06,2009-06-17
2009-06-18,62.06,2009-06-18
2009-06-19,62.96,2009-06-19
2009-06-20,62.96,2009-06-20
2009-06-21,62.06,2009-06-21
2009-06-22,60.08,2009-06-22
2009-06-23,59.0,2009-06-23
2009-06-24,60.98,2009-06-24
2009-06-25,62.06,2009-06-25
2009-06-26,60.98,2009-06-26
2009-06-27,60.08,2009-06-27
2009-06-28,60.08,2009-06-28
2009-06-29,60.08,2009-06-29
2009-06-30,59.0,2009-06-30
2009-07-01,60.98,2009-07-01
2009-07-02,60.08,2009-07-02
2009-07-03,60.98,2009-07-03
2009-07-04,60.98,2009-07-04
2009-07-05,59.0,2009-07-05
2009-07-06,60.08,2009-07-06
2009-07-07,57.92,2009-07-07
2009-07-08,60.98,2009-07-08
2009-07-09,60.08,2009-07-09
2009-07-10,60.98,2009-07-10
2009-07-11,60.98,2009-07-11
2009-07-12,62.96,2009-07-12
2009-07-13,64.04,2009-07-13
2009-07-14,64.94,2009-07-14
2009-07-15,64.04,2009-07-15
2009-07-16,62.06,2009-07-16
2009-07-17,60.08,2009-07-17
2009-07-18,62.06,2009-07-18
2009-07-19,62.96,2009-07-19
2009-07-20,66.02,2009-07-20
2009-07-21,66.02,2009-07-21
2009-07-22,66.02,2009-07-22
2009-07-23,66.92,2009-07-23
2009-07-24,66.92,2009-07-24
2009-07-25,64.94,2009-07-25
2009-07-26,64.94,2009-07-26
2009-07-27,66.02,2009-07-27
2009-07-28,64.04,2009-07-28
2009-07-29,,2009-07-29
2009-07-30,64.04,2009-07-30
2009-07-31,64.94,2009-07-31
2009-08-01,64.04,2009-08-01
2009-08-02,62.96,2009-08-02
2009-08-03,62.96,2009-08-03
2009-08-04,62.96,2009-08-04
2009-08-05,62.06,2009-08-05
2009-08-06,64.94,2009-08-06
2009-08-07,62.06,2009-08-07
2009-08-08,62.06,2009-08-08
2009-08-09,62.06,2009-08-09
2009-08-10,62.06,2009-08-10
2009-08-11,62.96,2009-08-11
2009-08-12,,2009-08-12
2009-08-13,60.08,2009-08-13
2009-08-14,60.98,2009-08-14
2009-08-15,62.96,2009-08-15
2009-08-16,62.06,2009-08-16
2009-08-17,60.08,2009-08-17
2009-08-18,60.08,2009-08-18
2009-08-19,60.08,2009-08-19
2009-08-20,60.98,2009-08-20
2009-08-21,60.98,2009-08-21
2009-08-22,60.98,2009-08-22
2009-08-23,66.92,2009-08-23
2009-08-24,64.04,2009-08-24
2009-08-25,62.96,2009-08-25
2009-08-26,62.06,2009-08-26
2009-08-27,60.98,2009-08-27
2009-08-28,64.94,2009-08-28
2009-08-29,64.94,2009-08-29
2009-08-30,66.92,2009-08-30
2009-08-31,66.02,2009-08-31
