,Tmax,DateTime
0,71.06,2005-06-01
1,69.08,2005-06-02
2,69.98,2005-06-03
3,69.98,2005-06-04
4,69.98,2005-06-05
5,69.98,2005-06-06
6,,2005-06-07
7,,2005-06-08
8,71.06,2005-06-09
9,71.06,2005-06-10
10,71.96,2005-06-11
11,,2005-06-12
12,71.06,2005-06-13
13,71.06,2005-06-14
14,71.06,2005-06-15
15,71.96,2005-06-16
16,71.06,2005-06-17
17,,2005-06-18
18,69.98,2005-06-19
19,73.04,2005-06-20
20,75.02,2005-06-21
21,75.02,2005-06-22
22,78.08,2005-06-23
23,69.98,2005-06-24
24,71.96,2005-06-25
25,71.06,2005-06-26
26,71.06,2005-06-27
27,71.96,2005-06-28
28,71.06,2005-06-29
29,71.06,2005-06-30
30,69.08,2005-07-01
31,69.98,2005-07-02
32,71.06,2005-07-03
33,71.06,2005-07-04
34,71.96,2005-07-05
35,69.98,2005-07-06
36,71.96,2005-07-07
37,71.96,2005-07-08
38,73.04,2005-07-09
39,73.94,2005-07-10
40,73.94,2005-07-11
41,73.04,2005-07-12
42,73.04,2005-07-13
43,71.06,2005-07-14
44,71.96,2005-07-15
45,77.0,2005-07-16
46,73.94,2005-07-17
47,71.96,2005-07-18
48,71.96,2005-07-19
49,77.0,2005-07-20
50,87.08,2005-07-21
51,84.02,2005-07-22
52,82.04,2005-07-23
53,86.0,2005-07-24
54,78.98,2005-07-25
55,75.92,2005-07-26
56,75.02,2005-07-27
57,75.02,2005-07-28
58,75.02,2005-07-29
59,73.04,2005-07-30
60,73.94,2005-07-31
61,73.94,2005-08-01
62,71.96,2005-08-02
63,73.04,2005-08-03
64,73.04,2005-08-04
65,71.96,2005-08-05
66,75.02,2005-08-06
67,73.04,2005-08-07
68,73.04,2005-08-08
69,73.94,2005-08-09
70,75.02,2005-08-10
71,75.02,2005-08-11
72,73.94,2005-08-12
73,75.92,2005-08-13
74,73.94,2005-08-14
75,75.02,2005-08-15
76,73.94,2005-08-16
77,75.92,2005-08-17
78,73.04,2005-08-18
79,73.94,2005-08-19
80,73.04,2005-08-20
81,73.94,2005-08-21
82,73.04,2005-08-22
83,78.98,2005-08-23
84,75.02,2005-08-24
85,73.94,2005-08-25
86,80.06,2005-08-26
87,82.04,2005-08-27
88,82.94,2005-08-28
89,82.04,2005-08-29
90,80.06,2005-08-30
91,78.98,2005-08-31
0,75.02,2006-06-01
1,73.94,2006-06-02
2,71.06,2006-06-03
3,84.02,2006-06-04
4,78.08,2006-06-05
5,75.02,2006-06-06
6,71.96,2006-06-07
7,69.98,2006-06-08
8,71.06,2006-06-09
9,73.04,2006-06-10
10,71.06,2006-06-11
11,69.98,2006-06-12
12,71.06,2006-06-13
13,73.04,2006-06-14
14,75.02,2006-06-15
15,77.0,2006-06-16
16,80.06,2006-06-17
17,82.04,2006-06-18
18,75.92,2006-06-19
19,75.02,2006-06-20
20,73.04,2006-06-21
21,73.04,2006-06-22
22,73.04,2006-06-23
23,71.06,2006-06-24
24,73.94,2006-06-25
25,75.92,2006-06-26
26,80.96,2006-06-27
27,93.92,2006-06-28
28,80.06,2006-06-29
29,77.0,2006-06-30
30,78.08,2006-07-01
31,80.06,2006-07-02
32,82.94,2006-07-03
33,80.06,2006-07-04
34,80.06,2006-07-05
35,75.92,2006-07-06
36,75.02,2006-07-07
37,78.98,2006-07-08
38,,2006-07-09
39,75.92,2006-07-10
40,73.94,2006-07-11
41,75.02,2006-07-12
42,80.96,2006-07-13
43,78.98,2006-07-14
44,78.98,2006-07-15
45,84.02,2006-07-16
46,87.98,2006-07-17
47,84.92,2006-07-18
48,80.06,2006-07-19
49,78.98,2006-07-20
50,77.0,2006-07-21
51,78.08,2006-07-22
52,86.0,2006-07-23
53,87.98,2006-07-24
54,87.08,2006-07-25
55,82.94,2006-07-26
56,84.92,2006-07-27
57,82.94,2006-07-28
58,84.02,2006-07-29
59,78.08,2006-07-30
60,78.08,2006-07-31
61,77.0,2006-08-01
62,80.06,2006-08-02
63,78.98,2006-08-03
64,,2006-08-04
65,77.0,2006-08-05
66,77.0,2006-08-06
67,75.92,2006-08-07
68,78.08,2006-08-08
69,78.98,2006-08-09
70,78.08,2006-08-10
71,,2006-08-11
72,78.08,2006-08-12
73,78.08,2006-08-13
74,75.92,2006-08-14
75,75.02,2006-08-15
76,75.02,2006-08-16
77,73.94,2006-08-17
78,75.02,2006-08-18
79,75.02,2006-08-19
80,73.04,2006-08-20
81,73.04,2006-08-21
82,73.94,2006-08-22
83,78.08,2006-08-23
84,84.02,2006-08-24
85,78.08,2006-08-25
86,75.92,2006-08-26
87,75.02,2006-08-27
88,77.0,2006-08-28
89,75.02,2006-08-29
90,77.0,2006-08-30
91,77.0,2006-08-31
0,64.94,2007-06-01
1,66.02,2007-06-02
2,68.0,2007-06-03
3,66.02,2007-06-04
4,62.96,2007-06-05
5,64.04,2007-06-06
6,66.92,2007-06-07
7,69.08,2007-06-08
8,69.08,2007-06-09
9,68.0,2007-06-10
10,68.0,2007-06-11
11,68.0,2007-06-12
12,69.08,2007-06-13
13,68.0,2007-06-14
14,71.06,2007-06-15
15,71.06,2007-06-16
16,69.98,2007-06-17
17,69.08,2007-06-18
18,69.98,2007-06-19
19,69.98,2007-06-20
20,69.98,2007-06-21
21,75.92,2007-06-22
22,75.02,2007-06-23
23,73.04,2007-06-24
24,69.98,2007-06-25
25,71.06,2007-06-26
26,71.96,2007-06-27
27,69.98,2007-06-28
28,73.94,2007-06-29
29,73.94,2007-06-30
30,73.94,2007-07-01
31,75.92,2007-07-02
32,78.08,2007-07-03
33,78.08,2007-07-04
34,73.04,2007-07-05
35,71.96,2007-07-06
36,73.04,2007-07-07
37,69.98,2007-07-08
38,73.94,2007-07-09
39,73.94,2007-07-10
40,73.94,2007-07-11
41,71.96,2007-07-12
42,73.04,2007-07-13
43,77.0,2007-07-14
44,75.92,2007-07-15
45,75.92,2007-07-16
46,73.94,2007-07-17
47,71.96,2007-07-18
48,71.96,2007-07-19
49,73.04,2007-07-20
50,75.02,2007-07-21
51,73.94,2007-07-22
52,73.04,2007-07-23
53,78.98,2007-07-24
54,75.02,2007-07-25
55,73.94,2007-07-26
56,78.98,2007-07-27
57,80.06,2007-07-28
58,78.98,2007-07-29
59,77.0,2007-07-30
60,75.02,2007-07-31
61,75.92,2007-08-01
62,75.92,2007-08-02
63,78.98,2007-08-03
64,73.94,2007-08-04
65,75.02,2007-08-05
66,75.92,2007-08-06
67,73.94,2007-08-07
68,75.02,2007-08-08
69,73.94,2007-08-09
70,73.04,2007-08-10
71,73.04,2007-08-11
72,71.96,2007-08-12
73,73.94,2007-08-13
74,80.06,2007-08-14
75,80.96,2007-08-15
76,78.98,2007-08-16
77,78.98,2007-08-17
78,84.02,2007-08-18
79,82.94,2007-08-19
80,80.06,2007-08-20
81,78.08,2007-08-21
82,80.96,2007-08-22
