,Tmax,DateTime
2015-06-01,66.02,2015-06-01
2015-06-02,66.92,2015-06-02
2015-06-03,69.08,2015-06-03
2015-06-04,,2015-06-04
2015-06-05,66.02,2015-06-05
2015-06-06,68.0,2015-06-06
2015-06-07,68.0,2015-06-07
2015-06-08,68.0,2015-06-08
2015-06-09,69.08,2015-06-09
2015-06-10,80.96,2015-06-10
2015-06-11,,2015-06-11
2015-06-12,69.98,2015-06-12
2015-06-13,69.08,2015-06-13
2015-06-14,68.0,2015-06-14
2015-06-15,71.96,2015-06-15
2015-06-16,69.08,2015-06-16
2015-06-17,,2015-06-17
2015-06-18,69.98,2015-06-18
2015-06-19,69.08,2015-06-19
2015-06-20,71.06,2015-06-20
2015-06-21,77.0,2015-06-21
2015-06-22,73.04,2015-06-22
2015-06-23,73.94,2015-06-23
2015-06-24,75.92,2015-06-24
2015-06-25,75.92,2015-06-25
2015-06-26,71.96,2015-06-26
2015-06-27,69.98,2015-06-27
2015-06-28,69.08,2015-06-28
2015-06-29,75.02,2015-06-29
2015-06-30,78.08,2015-06-30
2015-07-01,84.92,2015-07-01
2015-07-02,75.92,2015-07-02
2015-07-03,,2015-07-03
2015-07-04,71.06,2015-07-04
2015-07-05,71.96,2015-07-05
2015-07-06,69.98,2015-07-06
2015-07-07,69.98,2015-07-07
2015-07-08,71.96,2015-07-08
2015-07-09,71.06,2015-07-09
2015-07-10,73.04,2015-07-10
2015-07-11,71.06,2015-07-11
2015-07-12,73.04,2015-07-12
2015-07-13,73.94,2015-07-13
2015-07-14,75.02,2015-07-14
2015-07-15,75.02,2015-07-15
2015-07-16,75.02,2015-07-16
2015-07-17,73.94,2015-07-17
2015-07-18,73.04,2015-07-18
2015-07-19,84.92,2015-07-19
2015-07-20,86.0,2015-07-20
2015-07-21,,2015-07-21
2015-07-22,77.0,2015-07-22
2015-07-23,77.0,2015-07-23
2015-07-24,77.0,2015-07-24
2015-07-25,77.0,2015-07-25
2015-07-26,78.98,2015-07-26
2015-07-27,75.92,2015-07-27
2015-07-28,75.92,2015-07-28
2015-07-29,75.92,2015-07-29
2015-07-30,73.94,2015-07-30
2015-07-31,77.0,2015-07-31
2015-08-01,75.92,2015-08-01
2015-08-02,75.02,2015-08-02
2015-08-03,77.0,2015-08-03
2015-08-04,77.0,2015-08-04
2015-08-05,80.06,2015-08-05
2015-08-06,80.06,2015-08-06
2015-08-07,75.92,2015-08-07
2015-08-08,77.0,2015-08-08
2015-08-09,73.94,2015-08-09
2015-08-10,73.04,2015-08-10
2015-08-11,73.94,2015-08-11
2015-08-12,75.02,2015-08-12
2015-08-13,77.0,2015-08-13
2015-08-14,80.96,2015-08-14
2015-08-15,80.96,2015-08-15
2015-08-16,80.96,2015-08-16
2015-08-17,82.04,2015-08-17
2015-08-18,82.04,2015-08-18
2015-08-19,77.0,2015-08-19
2015-08-20,75.02,2015-08-20
2015-08-21,77.0,2015-08-21
2015-08-22,75.02,2015-08-22
2015-08-23,75.02,2015-08-23
2015-08-24,73.94,2015-08-24
2015-08-25,73.94,2015-08-25
2015-08-26,82.94,2015-08-26
2015-08-27,80.96,2015-08-27
2015-08-28,82.94,2015-08-28
2015-08-29,86.0,2015-08-29
2015-08-30,84.02,2015-08-30
2015-08-31,82.04,2015-08-31
