,DateTime,Tmax
106,2021-06-01,68.0
422,2021-06-02,66.02
724,2021-06-03,62.96
1043,2021-06-04,68.0
1360,2021-06-05,69.08
1674,2021-06-06,69.08
1990,2021-06-07,69.08
2308,2021-06-08,69.08
2620,2021-06-09,69.98
2932,2021-06-10,69.98
3244,2021-06-11,71.06
3556,2021-06-12,71.96
3868,2021-06-13,73.94
4184,2021-06-14,71.96
4496,2021-06-15,73.94
4808,2021-06-16,78.98
5121,2021-06-17,80.06
5437,2021-06-18,73.94
5753,2021-06-19,71.06
6070,2021-06-20,69.08
6390,2021-06-21,69.08
6705,2021-06-22,69.98
7020,2021-06-23,69.98
7337,2021-06-24,71.06
7650,2021-06-25,69.08
7968,2021-06-26,69.98
8283,2021-06-27,69.98
8599,2021-06-28,71.06
8916,2021-06-29,71.96
9233,2021-06-30,73.94
106,2021-07-01,73.04
422,2021-07-02,73.04
742,2021-07-03,69.98
1061,2021-07-04,69.98
1374,2021-07-05,71.06
1690,2021-07-06,69.98
2005,2021-07-07,71.96
2320,2021-07-08,71.06
2634,2021-07-09,73.94
2947,2021-07-10,75.02
3259,2021-07-11,77.0
3572,2021-07-12,77.0
3887,2021-07-13,75.02
4203,2021-07-14,73.94
4516,2021-07-15,75.92
4828,2021-07-16,75.92
5144,2021-07-17,73.04
5462,2021-07-18,75.02
5776,2021-07-19,78.98
6089,2021-07-20,75.92
6402,2021-07-21,73.94
6713,2021-07-22,78.08
7025,2021-07-23,77.0
7342,2021-07-24,75.92
7656,2021-07-25,73.04
7972,2021-07-26,73.04
8289,2021-07-27,73.04
8604,2021-07-28,69.98
8918,2021-07-29,71.96
9237,2021-07-30,71.96
9555,2021-07-31,69.98
103,2021-08-01,69.08
417,2021-08-02,73.94
727,2021-08-03,78.08
1039,2021-08-04,75.02
1351,2021-08-05,73.04
1664,2021-08-06,73.04
1981,2021-08-07,73.04
2296,2021-08-08,73.94
2611,2021-08-09,71.96
2926,2021-08-10,73.94
3246,2021-08-11,73.04
3560,2021-08-12,75.92
3873,2021-08-13,78.98
4185,2021-08-14,80.06
4498,2021-08-15,75.02
4810,2021-08-16,75.92
5126,2021-08-17,78.98
5444,2021-08-18,78.08
5762,2021-08-19,75.92
6077,2021-08-20,78.08
6391,2021-08-21,75.92
6704,2021-08-22,75.02
7013,2021-08-23,73.94
7327,2021-08-24,75.92
7639,2021-08-25,73.94
7951,2021-08-26,75.02
8263,2021-08-27,78.98
8491,2021-08-28,77.0
8807,2021-08-29,71.96
9130,2021-08-30,69.98
9447,2021-08-31,73.04
