,Tmin,DateTime
0,57.92,2005-06-01
1,60.08,2005-06-02
2,59.0,2005-06-03
3,59.0,2005-06-04
4,60.08,2005-06-05
5,57.92,2005-06-06
6,,2005-06-07
7,,2005-06-08
8,57.92,2005-06-09
9,60.08,2005-06-10
10,60.08,2005-06-11
11,,2005-06-12
12,60.98,2005-06-13
13,60.08,2005-06-14
14,60.08,2005-06-15
15,60.98,2005-06-16
16,60.08,2005-06-17
17,,2005-06-18
18,57.02,2005-06-19
19,55.04,2005-06-20
20,57.92,2005-06-21
21,60.08,2005-06-22
22,60.08,2005-06-23
23,59.0,2005-06-24
24,57.02,2005-06-25
25,57.02,2005-06-26
26,57.02,2005-06-27
27,55.94,2005-06-28
28,59.0,2005-06-29
29,55.94,2005-06-30
30,53.96,2005-07-01
31,57.02,2005-07-02
32,57.02,2005-07-03
33,55.04,2005-07-04
34,57.92,2005-07-05
35,60.08,2005-07-06
36,60.08,2005-07-07
37,60.98,2005-07-08
38,62.06,2005-07-09
39,62.06,2005-07-10
40,62.06,2005-07-11
41,64.04,2005-07-12
42,60.98,2005-07-13
43,60.98,2005-07-14
44,60.98,2005-07-15
45,62.06,2005-07-16
46,62.06,2005-07-17
47,62.06,2005-07-18
48,62.06,2005-07-19
49,64.04,2005-07-20
50,66.92,2005-07-21
51,68.0,2005-07-22
52,66.92,2005-07-23
53,68.0,2005-07-24
54,66.02,2005-07-25
55,64.04,2005-07-26
56,62.96,2005-07-27
57,64.94,2005-07-28
58,62.96,2005-07-29
59,64.04,2005-07-30
60,64.04,2005-07-31
61,62.96,2005-08-01
62,62.06,2005-08-02
63,60.98,2005-08-03
64,62.96,2005-08-04
65,62.96,2005-08-05
66,62.96,2005-08-06
67,64.94,2005-08-07
68,64.04,2005-08-08
69,62.96,2005-08-09
70,64.04,2005-08-10
71,64.04,2005-08-11
72,64.04,2005-08-12
73,64.94,2005-08-13
74,64.94,2005-08-14
75,64.94,2005-08-15
76,64.94,2005-08-16
77,62.96,2005-08-17
78,62.96,2005-08-18
79,62.96,2005-08-19
80,62.96,2005-08-20
81,62.96,2005-08-21
82,60.98,2005-08-22
83,62.96,2005-08-23
84,62.96,2005-08-24
85,62.96,2005-08-25
86,62.96,2005-08-26
87,66.92,2005-08-27
88,68.0,2005-08-28
89,66.02,2005-08-29
90,64.94,2005-08-30
91,64.94,2005-08-31
0,60.98,2006-06-01
1,60.08,2006-06-02
2,60.98,2006-06-03
3,62.96,2006-06-04
4,66.02,2006-06-05
5,64.94,2006-06-06
6,64.04,2006-06-07
7,64.94,2006-06-08
8,64.04,2006-06-09
9,62.96,2006-06-10
10,62.96,2006-06-11
11,62.06,2006-06-12
12,60.98,2006-06-13
13,60.08,2006-06-14
14,60.98,2006-06-15
15,62.96,2006-06-16
16,64.04,2006-06-17
17,66.02,2006-06-18
18,64.94,2006-06-19
19,62.96,2006-06-20
20,60.08,2006-06-21
21,60.98,2006-06-22
22,62.96,2006-06-23
23,62.06,2006-06-24
24,60.98,2006-06-25
25,62.96,2006-06-26
26,62.96,2006-06-27
27,60.98,2006-06-28
28,64.04,2006-06-29
29,62.96,2006-06-30
30,64.04,2006-07-01
31,66.02,2006-07-02
32,66.92,2006-07-03
33,68.0,2006-07-04
34,66.02,2006-07-05
35,66.02,2006-07-06
36,64.94,2006-07-07
37,64.04,2006-07-08
38,,2006-07-09
39,64.94,2006-07-10
40,62.96,2006-07-11
41,62.96,2006-07-12
42,64.94,2006-07-13
43,66.92,2006-07-14
44,64.94,2006-07-15
45,66.92,2006-07-16
46,69.98,2006-07-17
47,71.06,2006-07-18
48,68.0,2006-07-19
49,66.92,2006-07-20
50,66.92,2006-07-21
51,68.0,2006-07-22
52,71.06,2006-07-23
53,73.94,2006-07-24
54,71.96,2006-07-25
55,73.04,2006-07-26
56,71.06,2006-07-27
57,69.08,2006-07-28
58,73.04,2006-07-29
59,71.96,2006-07-30
60,69.98,2006-07-31
61,69.08,2006-08-01
62,69.08,2006-08-02
63,69.08,2006-08-03
64,,2006-08-04
65,66.02,2006-08-05
66,66.02,2006-08-06
67,66.02,2006-08-07
68,66.02,2006-08-08
69,62.96,2006-08-09
70,66.92,2006-08-10
71,,2006-08-11
72,68.0,2006-08-12
73,66.02,2006-08-13
74,66.02,2006-08-14
75,64.94,2006-08-15
76,64.04,2006-08-16
77,64.04,2006-08-17
78,64.94,2006-08-18
79,62.96,2006-08-19
80,64.04,2006-08-20
81,64.04,2006-08-21
82,62.96,2006-08-22
83,64.04,2006-08-23
84,66.92,2006-08-24
85,64.94,2006-08-25
86,62.96,2006-08-26
87,62.96,2006-08-27
88,62.06,2006-08-28
89,62.96,2006-08-29
90,64.04,2006-08-30
91,64.94,2006-08-31
0,57.02,2007-06-01
1,57.92,2007-06-02
2,57.92,2007-06-03
3,57.92,2007-06-04
4,57.02,2007-06-05
5,57.92,2007-06-06
6,55.94,2007-06-07
7,55.04,2007-06-08
8,57.02,2007-06-09
9,60.08,2007-06-10
10,60.08,2007-06-11
11,60.08,2007-06-12
12,60.98,2007-06-13
13,60.98,2007-06-14
14,57.92,2007-06-15
15,60.08,2007-06-16
16,59.0,2007-06-17
17,60.08,2007-06-18
18,60.08,2007-06-19
19,60.98,2007-06-20
20,60.08,2007-06-21
21,57.92,2007-06-22
22,60.98,2007-06-23
23,62.96,2007-06-24
24,62.96,2007-06-25
25,60.98,2007-06-26
26,60.98,2007-06-27
27,60.98,2007-06-28
28,62.06,2007-06-29
29,62.06,2007-06-30
30,64.04,2007-07-01
31,64.94,2007-07-02
32,64.94,2007-07-03
33,64.04,2007-07-04
34,64.94,2007-07-05
35,64.04,2007-07-06
36,62.96,2007-07-07
37,62.96,2007-07-08
38,64.94,2007-07-09
39,64.94,2007-07-10
40,64.94,2007-07-11
41,64.04,2007-07-12
42,62.96,2007-07-13
43,62.06,2007-07-14
44,64.94,2007-07-15
45,64.94,2007-07-16
46,64.94,2007-07-17
47,64.04,2007-07-18
48,62.96,2007-07-19
49,64.04,2007-07-20
50,64.94,2007-07-21
51,64.94,2007-07-22
52,64.04,2007-07-23
53,64.94,2007-07-24
54,66.02,2007-07-25
55,66.02,2007-07-26
56,66.92,2007-07-27
57,68.0,2007-07-28
58,66.02,2007-07-29
59,66.02,2007-07-30
60,66.92,2007-07-31
61,66.92,2007-08-01
62,66.02,2007-08-02
63,66.02,2007-08-03
64,66.02,2007-08-04
65,66.92,2007-08-05
66,,2007-08-06
67,66.02,2007-08-07
68,64.94,2007-08-08
69,64.04,2007-08-09
70,64.94,2007-08-10
71,62.96,2007-08-11
72,64.04,2007-08-12
73,64.04,2007-08-13
74,64.94,2007-08-14
75,68.0,2007-08-15
76,,2007-08-16
77,68.0,2007-08-17
78,69.98,2007-08-18
79,69.08,2007-08-19
80,68.0,2007-08-20
81,66.02,2007-08-21
82,66.02,2007-08-22
83,64.04,2007-08-23
84,66.92,2007-08-24
85,64.94,2007-08-25
86,64.94,2007-08-26
87,66.02,2007-08-27
88,66.02,2007-08-28
89,64.94,2007-08-29
90,66.92,2007-08-30
91,69.08,2007-08-31
0,57.92,2008-06-01
1,57.92,2008-06-02
2,60.08,2008-06-03
3,,2008-06-04
4,60.98,2008-06-05
5,57.02,2008-06-06
6,60.98,2008-06-07
7,60.08,2008-06-08
8,62.06,2008-06-09
9,60.08,2008-06-10
10,60.08,2008-06-11
11,62.96,2008-06-12
12,62.96,2008-06-13
13,60.98,2008-06-14
14,60.08,2008-06-15
15,59.0,2008-06-16
16,62.06,2008-06-17
17,64.04,2008-06-18
18,62.96,2008-06-19
19,64.94,2008-06-20
20,66.02,2008-06-21
21,71.06,2008-06-22
22,69.08,2008-06-23
23,66.92,2008-06-24
24,66.02,2008-06-25
25,66.02,2008-06-26
26,66.02,2008-06-27
27,66.02,2008-06-28
28,,2008-06-29
29,64.04,2008-06-30
30,64.04,2008-07-01
31,64.04,2008-07-02
32,64.04,2008-07-03
33,64.94,2008-07-04
34,66.92,2008-07-05
35,66.92,2008-07-06
36,64.94,2008-07-07
37,64.94,2008-07-08
38,64.94,2008-07-09
39,64.94,2008-07-10
40,66.92,2008-07-11
41,68.0,2008-07-12
42,66.92,2008-07-13
43,66.92,2008-07-14
44,66.92,2008-07-15
45,66.92,2008-07-16
46,66.02,2008-07-17
47,66.02,2008-07-18
48,64.94,2008-07-19
49,64.94,2008-07-20
50,66.02,2008-07-21
51,64.04,2008-07-22
52,64.04,2008-07-23
53,64.04,2008-07-24
54,62.96,2008-07-25
55,62.96,2008-07-26
56,66.92,2008-07-27
57,66.02,2008-07-28
58,64.94,2008-07-29
59,62.96,2008-07-30
60,62.96,2008-07-31
61,62.06,2008-08-01
62,62.96,2008-08-02
63,64.04,2008-08-03
64,64.94,2008-08-04
65,66.02,2008-08-05
66,66.92,2008-08-06
67,66.92,2008-08-07
68,68.0,2008-08-08
69,66.92,2008-08-09
70,66.02,2008-08-10
71,66.02,2008-08-11
72,62.96,2008-08-12
73,62.96,2008-08-13
74,64.94,2008-08-14
75,,2008-08-15
76,66.92,2008-08-16
77,66.02,2008-08-17
78,66.02,2008-08-18
79,64.04,2008-08-19
80,64.04,2008-08-20
81,64.04,2008-08-21
82,64.94,2008-08-22
83,66.02,2008-08-23
84,64.04,2008-08-24
85,62.96,2008-08-25
86,66.02,2008-08-26
87,66.02,2008-08-27
88,62.96,2008-08-28
89,64.04,2008-08-29
90,64.04,2008-08-30
91,68.0,2008-08-31
0,59.0,2009-06-01
1,59.0,2009-06-02
2,60.08,2009-06-03
3,60.08,2009-06-04
4,57.02,2009-06-05
5,60.08,2009-06-06
6,60.08,2009-06-07
7,60.08,2009-06-08
8,60.98,2009-06-09
9,62.06,2009-06-10
10,60.08,2009-06-11
11,62.06,2009-06-12
12,60.98,2009-06-13
13,62.06,2009-06-14
14,60.08,2009-06-15
15,60.08,2009-06-16
16,62.06,2009-06-17
17,62.06,2009-06-18
18,62.96,2009-06-19
19,62.96,2009-06-20
20,62.06,2009-06-21
21,60.08,2009-06-22
22,59.0,2009-06-23
23,60.98,2009-06-24
24,62.06,2009-06-25
25,60.98,2009-06-26
26,60.08,2009-06-27
27,60.08,2009-06-28
28,60.08,2009-06-29
29,59.0,2009-06-30
30,60.98,2009-07-01
31,60.08,2009-07-02
32,60.98,2009-07-03
33,60.98,2009-07-04
34,59.0,2009-07-05
35,60.08,2009-07-06
36,57.92,2009-07-07
37,60.98,2009-07-08
38,60.08,2009-07-09
39,60.98,2009-07-10
40,60.98,2009-07-11
41,62.96,2009-07-12
42,64.04,2009-07-13
43,64.94,2009-07-14
44,64.04,2009-07-15
45,62.06,2009-07-16
46,60.08,2009-07-17
47,62.06,2009-07-18
48,62.96,2009-07-19
49,66.02,2009-07-20
50,66.02,2009-07-21
51,66.02,2009-07-22
52,66.92,2009-07-23
53,66.92,2009-07-24
54,64.94,2009-07-25
55,64.94,2009-07-26
56,66.02,2009-07-27
57,64.04,2009-07-28
58,,2009-07-29
59,64.04,2009-07-30
60,64.94,2009-07-31
61,64.04,2009-08-01
62,62.96,2009-08-02
63,62.96,2009-08-03
64,62.96,2009-08-04
65,62.06,2009-08-05
66,64.94,2009-08-06
67,62.06,2009-08-07
68,62.06,2009-08-08
69,62.06,2009-08-09
70,62.06,2009-08-10
71,62.96,2009-08-11
72,,2009-08-12
73,60.08,2009-08-13
74,60.98,2009-08-14
75,62.96,2009-08-15
76,62.06,2009-08-16
77,60.08,2009-08-17
78,60.08,2009-08-18
79,60.08,2009-08-19
80,60.98,2009-08-20
81,60.98,2009-08-21
82,60.98,2009-08-22
83,66.92,2009-08-23
84,64.04,2009-08-24
85,62.96,2009-08-25
86,62.06,2009-08-26
87,60.98,2009-08-27
88,64.94,2009-08-28
89,64.94,2009-08-29
90,66.92,2009-08-30
91,66.02,2009-08-31
0,60.08,2010-06-01
1,59.0,2010-06-02
2,59.0,2010-06-03
3,57.02,2010-06-04
4,60.08,2010-06-05
5,60.98,2010-06-06
6,62.06,2010-06-07
7,60.08,2010-06-08
8,60.08,2010-06-09
9,60.08,2010-06-10
10,,2010-06-11
11,60.08,2010-06-12
12,60.08,2010-06-13
13,60.08,2010-06-14
14,,2010-06-15
15,,2010-06-16
16,60.98,2010-06-17
17,60.08,2010-06-18
18,60.98,2010-06-19
19,60.08,2010-06-20
20,57.92,2010-06-21
21,60.08,2010-06-22
22,59.0,2010-06-23
23,59.0,2010-06-24
24,60.08,2010-06-25
25,60.98,2010-06-26
26,60.98,2010-06-27
27,60.08,2010-06-28
28,62.06,2010-06-29
29,62.06,2010-06-30
30,60.08,2010-07-01
31,60.98,2010-07-02
32,59.0,2010-07-03
33,60.98,2010-07-04
34,60.98,2010-07-05
35,60.98,2010-07-06
36,57.92,2010-07-07
37,60.08,2010-07-08
38,60.08,2010-07-09
39,60.08,2010-07-10
40,60.98,2010-07-11
41,62.06,2010-07-12
42,60.98,2010-07-13
43,60.08,2010-07-14
44,62.96,2010-07-15
45,66.02,2010-07-16
46,64.04,2010-07-17
47,62.96,2010-07-18
48,64.94,2010-07-19
49,62.96,2010-07-20
50,60.98,2010-07-21
51,62.06,2010-07-22
52,62.96,2010-07-23
53,59.0,2010-07-24
54,59.0,2010-07-25
55,60.98,2010-07-26
56,60.08,2010-07-27
57,60.08,2010-07-28
58,59.0,2010-07-29
59,59.0,2010-07-30
60,59.0,2010-07-31
61,59.0,2010-08-01
62,57.02,2010-08-02
63,57.92,2010-08-03
64,59.0,2010-08-04
65,57.92,2010-08-05
66,59.0,2010-08-06
67,59.0,2010-08-07
68,59.0,2010-08-08
69,60.08,2010-08-09
70,59.0,2010-08-10
71,59.0,2010-08-11
72,60.08,2010-08-12
73,59.0,2010-08-13
74,59.0,2010-08-14
75,59.0,2010-08-15
76,59.0,2010-08-16
77,60.08,2010-08-17
78,62.96,2010-08-18
79,64.94,2010-08-19
80,62.96,2010-08-20
81,62.06,2010-08-21
82,60.08,2010-08-22
83,60.98,2010-08-23
84,60.98,2010-08-24
85,64.94,2010-08-25
86,62.96,2010-08-26
87,60.98,2010-08-27
88,60.08,2010-08-28
89,62.06,2010-08-29
90,60.08,2010-08-30
91,57.92,2010-08-31
0,51.98,2011-06-01
1,53.06,2011-06-02
2,53.96,2011-06-03
3,53.96,2011-06-04
4,55.04,2011-06-05
5,55.94,2011-06-06
6,57.02,2011-06-07
7,55.04,2011-06-08
8,59.0,2011-06-09
9,57.92,2011-06-10
10,59.0,2011-06-11
11,57.92,2011-06-12
12,59.0,2011-06-13
13,57.92,2011-06-14
14,57.02,2011-06-15
15,57.02,2011-06-16
16,,2011-06-17
17,60.08,2011-06-18
18,60.08,2011-06-19
19,60.08,2011-06-20
20,60.08,2011-06-21
21,60.08,2011-06-22
22,59.0,2011-06-23
23,60.98,2011-06-24
24,62.06,2011-06-25
25,60.98,2011-06-26
26,60.98,2011-06-27
27,60.98,2011-06-28
28,62.06,2011-06-29
29,60.98,2011-06-30
30,62.06,2011-07-01
31,62.96,2011-07-02
32,64.04,2011-07-03
33,62.96,2011-07-04
34,62.96,2011-07-05
35,66.02,2011-07-06
36,66.92,2011-07-07
37,66.92,2011-07-08
38,64.94,2011-07-09
39,64.04,2011-07-10
40,64.04,2011-07-11
41,62.96,2011-07-12
42,62.96,2011-07-13
43,62.96,2011-07-14
44,62.06,2011-07-15
45,62.96,2011-07-16
46,62.06,2011-07-17
47,60.98,2011-07-18
48,62.06,2011-07-19
49,64.04,2011-07-20
50,59.0,2011-07-21
51,60.08,2011-07-22
52,62.06,2011-07-23
53,62.06,2011-07-24
54,60.08,2011-07-25
55,64.94,2011-07-26
56,64.94,2011-07-27
57,64.94,2011-07-28
58,66.02,2011-07-29
59,64.04,2011-07-30
60,64.04,2011-07-31
61,62.96,2011-08-01
62,64.04,2011-08-02
63,62.06,2011-08-03
64,60.98,2011-08-04
65,59.0,2011-08-05
66,60.98,2011-08-06
67,59.0,2011-08-07
68,60.08,2011-08-08
69,60.98,2011-08-09
70,60.08,2011-08-10
71,62.96,2011-08-11
72,62.96,2011-08-12
73,62.06,2011-08-13
74,62.06,2011-08-14
75,62.96,2011-08-15
76,,2011-08-16
77,,2011-08-17
78,62.06,2011-08-18
79,62.06,2011-08-19
80,,2011-08-20
81,62.96,2011-08-21
82,62.06,2011-08-22
83,62.06,2011-08-23
84,62.96,2011-08-24
85,62.96,2011-08-25
86,64.04,2011-08-26
87,66.02,2011-08-27
88,66.02,2011-08-28
89,66.02,2011-08-29
90,64.04,2011-08-30
91,62.06,2011-08-31
0,60.08,2012-06-01
1,60.98,2012-06-02
2,62.06,2012-06-03
3,62.06,2012-06-04
4,60.98,2012-06-05
5,60.08,2012-06-06
6,57.92,2012-06-07
7,60.08,2012-06-08
8,60.98,2012-06-09
