,Tmin,DateTime
2006-06-01,60.98,2006-06-01
2006-06-02,60.08,2006-06-02
2006-06-03,60.98,2006-06-03
2006-06-04,62.96,2006-06-04
2006-06-05,66.02,2006-06-05
2006-06-06,64.94,2006-06-06
2006-06-07,64.04,2006-06-07
2006-06-08,64.94,2006-06-08
2006-06-09,64.04,2006-06-09
2006-06-10,62.96,2006-06-10
2006-06-11,62.96,2006-06-11
2006-06-12,62.06,2006-06-12
2006-06-13,60.98,2006-06-13
2006-06-14,60.08,2006-06-14
2006-06-15,60.98,2006-06-15
2006-06-16,62.96,2006-06-16
2006-06-17,64.04,2006-06-17
2006-06-18,66.02,2006-06-18
2006-06-19,64.94,2006-06-19
2006-06-20,62.96,2006-06-20
2006-06-21,60.08,2006-06-21
2006-06-22,60.98,2006-06-22
2006-06-23,62.96,2006-06-23
2006-06-24,62.06,2006-06-24
2006-06-25,60.98,2006-06-25
2006-06-26,62.96,2006-06-26
2006-06-27,62.96,2006-06-27
2006-06-28,60.98,2006-06-28
2006-06-29,64.04,2006-06-29
2006-06-30,62.96,2006-06-30
2006-07-01,64.04,2006-07-01
2006-07-02,66.02,2006-07-02
2006-07-03,66.92,2006-07-03
2006-07-04,68.0,2006-07-04
2006-07-05,66.02,2006-07-05
2006-07-06,66.02,2006-07-06
2006-07-07,64.94,2006-07-07
2006-07-08,64.04,2006-07-08
2006-07-09,,2006-07-09
2006-07-10,64.94,2006-07-10
2006-07-11,62.96,2006-07-11
2006-07-12,62.96,2006-07-12
2006-07-13,64.94,2006-07-13
2006-07-14,66.92,2006-07-14
2006-07-15,64.94,2006-07-15
2006-07-16,66.92,2006-07-16
2006-07-17,69.98,2006-07-17
2006-07-18,71.06,2006-07-18
2006-07-19,68.0,2006-07-19
2006-07-20,66.92,2006-07-20
2006-07-21,66.92,2006-07-21
2006-07-22,68.0,2006-07-22
2006-07-23,71.06,2006-07-23
2006-07-24,73.94,2006-07-24
2006-07-25,71.96,2006-07-25
2006-07-26,73.04,2006-07-26
2006-07-27,71.06,2006-07-27
2006-07-28,69.08,2006-07-28
2006-07-29,73.04,2006-07-29
2006-07-30,71.96,2006-07-30
2006-07-31,69.98,2006-07-31
2006-08-01,69.08,2006-08-01
2006-08-02,69.08,2006-08-02
2006-08-03,69.08,2006-08-03
2006-08-04,,2006-08-04
2006-08-05,66.02,2006-08-05
2006-08-06,66.02,2006-08-06
2006-08-07,66.02,2006-08-07
2006-08-08,66.02,2006-08-08
2006-08-09,62.96,2006-08-09
2006-08-10,66.92,2006-08-10
2006-08-11,,2006-08-11
2006-08-12,68.0,2006-08-12
2006-08-13,66.02,2006-08-13
2006-08-14,66.02,2006-08-14
2006-08-15,64.94,2006-08-15
2006-08-16,64.04,2006-08-16
2006-08-17,64.04,2006-08-17
2006-08-18,64.94,2006-08-18
2006-08-19,62.96,2006-08-19
2006-08-20,64.04,2006-08-20
2006-08-21,64.04,2006-08-21
2006-08-22,62.96,2006-08-22
2006-08-23,64.04,2006-08-23
2006-08-24,66.92,2006-08-24
2006-08-25,64.94,2006-08-25
2006-08-26,62.96,2006-08-26
2006-08-27,62.96,2006-08-27
2006-08-28,62.06,2006-08-28
2006-08-29,62.96,2006-08-29
2006-08-30,64.04,2006-08-30
2006-08-31,64.94,2006-08-31
