,DateTime,Tmin
106,2021-06-01,60.08
422,2021-06-02,57.92
724,2021-06-03,57.02
1043,2021-06-04,57.92
1360,2021-06-05,59.0
1674,2021-06-06,59.0
1990,2021-06-07,60.08
2308,2021-06-08,59.0
2620,2021-06-09,59.0
2932,2021-06-10,59.0
3244,2021-06-11,55.94
3556,2021-06-12,57.02
3868,2021-06-13,57.92
4184,2021-06-14,59.0
4496,2021-06-15,60.98
4808,2021-06-16,62.06
5121,2021-06-17,64.04
5437,2021-06-18,62.06
5753,2021-06-19,60.08
6070,2021-06-20,60.98
6390,2021-06-21,60.08
6705,2021-06-22,60.98
7020,2021-06-23,60.08
7337,2021-06-24,60.98
7650,2021-06-25,60.98
7968,2021-06-26,60.98
8283,2021-06-27,60.98
8599,2021-06-28,60.98
8916,2021-06-29,64.04
9233,2021-06-30,64.04
106,2021-07-01,64.04
422,2021-07-02,64.04
742,2021-07-03,62.96
1061,2021-07-04,62.06
1374,2021-07-05,60.08
1690,2021-07-06,60.08
2005,2021-07-07,62.06
2320,2021-07-08,62.06
2634,2021-07-09,64.04
2947,2021-07-10,66.02
3259,2021-07-11,64.94
3572,2021-07-12,64.94
3887,2021-07-13,66.92
4203,2021-07-14,66.02
4516,2021-07-15,66.02
4828,2021-07-16,64.04
5144,2021-07-17,64.94
5462,2021-07-18,64.04
5776,2021-07-19,64.94
6089,2021-07-20,66.02
6402,2021-07-21,64.94
6713,2021-07-22,64.04
7025,2021-07-23,66.92
7342,2021-07-24,64.94
7656,2021-07-25,64.94
7972,2021-07-26,64.94
8289,2021-07-27,64.94
8604,2021-07-28,64.04
8918,2021-07-29,62.96
9237,2021-07-30,62.06
9555,2021-07-31,60.98
103,2021-08-01,60.98
417,2021-08-02,62.06
727,2021-08-03,62.96
1039,2021-08-04,62.96
1351,2021-08-05,62.96
1664,2021-08-06,64.04
1981,2021-08-07,64.04
2296,2021-08-08,64.04
2611,2021-08-09,64.04
2926,2021-08-10,62.96
3246,2021-08-11,62.06
3560,2021-08-12,64.04
3873,2021-08-13,66.02
4185,2021-08-14,66.02
4498,2021-08-15,64.94
4810,2021-08-16,64.94
5126,2021-08-17,66.02
5444,2021-08-18,68.0
5762,2021-08-19,68.0
6077,2021-08-20,66.92
6391,2021-08-21,66.92
6704,2021-08-22,64.94
7013,2021-08-23,66.02
7327,2021-08-24,64.04
7639,2021-08-25,62.96
7951,2021-08-26,64.04
8263,2021-08-27,64.04
8491,2021-08-28,62.06
8807,2021-08-29,60.98
9130,2021-08-30,60.98
9447,2021-08-31,64.04
